0,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110
2,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110
3,ACC406, UBa/HIMS01/13/0009,ACCOUNTANCY,400,2,2013/2014,,66,,,0,,,,,
4,ACC402, UBa/HIMS01/13/0009,ACCOUNTANCY,400,2,2013/2014,19,45,,,,,,,,
5,ENT408, UBa/HIMS01/13/0009,ACCOUNTANCY,400,2,2013/2014,12,43,,,,,,,,
6,ENT406, UBa/HIMS04/13/00111,MANAGEMENT,400,2,2013/2014,16,25.1,,,,,,,,
7,MGT402, UBa/HIMS04/13/00111,MANAGEMENT,400,2,2013/2014,,43,,,0,,,,,
8,MGT404, UBa/HIMS04/13/00111,MANAGEMENT,400,2,2013/2014,18,40,,,0,,,,,
9,MGT410, UBa/HIMS04/13/00111,MANAGEMENT,400,2,2013/2014,,,,,0,,,,,
10,MGT412, UBa/HIMS04/13/00111,MANAGEMENT,400,2,2013/2014,,,,,0,,,,,
11,MGT414, UBa/HIMS04/13/00111,MANAGEMENT,400,2,2013/2014,12,46,,,0,,,,,
12,ACY 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,15,35,30,3,150,0,,,,
13,ACY 201,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
14,ACY 202,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,15,47,0,3,186,0,,,,
15,ACY 202,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
16,ACY 208,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,14,38,0,3,156,0,,,,
17,ACY 208,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,14,Validated,,,,,,,,
18,ACY 210,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,12,17,0,3,87,0,,,,
19,ACY 210,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,12,40,31.2,3,,,,,,
20,ACY212,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,14,35,0,3,147,0,,,,
21,ACY212,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,14,44,34.8,3,,,,,,
22,BNF 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,18,40,34.8,3,174,0,,,,
