roll,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106
1,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106
2,ACC401,UBa/HIMS01/13/0005,ACCOUNTANCY,,1,2013/2014,13,62,3.5,3.5,0,0
3,ACC401,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,11,30,2.5,6,0,0
4,ACC401,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,19,42,3,6,1,0
5,ACC401,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,16,34,2,6,1,0
6,ACC401,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,14,42,2.5,6,1,0
7,ACC401,UBa/HIMS01/13/0020,ACCOUNTANCY,400,1,2013/2014,20,55,3.5,6,1,0
8,ACC401,UBa/HIMS01/13/0089,ACCOUNTANCY,400,1,2013/2014,10,38,1.5,6,0,0
9,ACC401,UBa/HIMS01/13/0024,ACCOUNTANCY,400,1,2013/2014,7,63,3.5,6,1,0
10,ACC401,UBa/HIMS01/13/0028,ACCOUNTANCY,400,1,2013/2014,20,45,3,6,1,0
11,ACC401,UBa/HIMS01/13/0034,ACCOUNTANCY,400,1,2013/2014,14,29,3,6,0,0
12,ACC401,UBa/HIMS01/13/0035,ACCOUNTANCY,400,1,2013/2014,25,57,4,6,1,0
13,ACC401,UBa/HIMS01/13/0037,ACCOUNTANCY,400,1,2013/2014,11,30,3.5,6,0,0
14,ACC401,UBa/HIMS01/13/0101,ACCOUNTANCY,400,1,2013/2014,12,26,0,6,0,0
15,ACC401,UBa/HIMS01/13/0048,ACCOUNTANCY,400,1,2013/2014,15,41,2.5,6,1,0
16,ACC401,UBa/HIMS01/13/0055,ACCOUNTANCY,400,1,2013/2014,15,31,1.5,6,0,0
17,ACC401,UBa/HIMS01/13/0064,ACCOUNTANCY,400,1,2013/2014,11,57,3,6,1,0
18,ACC401,UBa/HIMS01/13/0103,ACCOUNTANCY,400,1,2013/2014,16,72,4,6,1,0
19,ACC401,UBa/HIMS01/13/0113,ACCOUNTANCY,400,1,2013/2014,10,38,1.5,6,0,0
20,ACC401,UBa/HIMS01/13/0118,ACCOUNTANCY,400,1,2013/2014,12,54,3,6,1,0
21,ACC401,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,11,46,2.5,6,1,0
22,ACC409,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,17,53,3.5,6,1,0
23,ACC405,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,19,38,2.5,6,1,0
24,ACC407,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,13,29,2.5,6,0,0
25,ACC403,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,24,46,3.5,6,1,0
26,ACC401,UBa/HIMS01/13/0065,ACCOUNTANCY,400,1,2013/2014,19,42,3,6,1,0
27,ACC405,UBa/HIMS01/13/0003,ACCOUNTANCY,400,1,2013/2014,14,54,3,6,1,0
28,ACC405,UBa/HIMS01/13/0005,ACCOUNTANCY,400,1,2013/2014,16,59,3.5,6,1,0
29,ACC405,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,19,56,3.5,6,1,0
30,ACC405,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,22,53.5,3.5,6,1,0
31,ACC405,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,17,37,2,6,1,0
32,ACC405,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,11,33,2.5,6,1,0
33,ACC405,UBa/HIMS01/13/0020,ACCOUNTANCY,400,1,2013/2014,20,59,3.5,6,1,0
34,ACC405,UBa/HIMS01/13/0089,ACCOUNTANCY,400,1,2013/2014,19,47,3,6,1,0
35,ACC405,UBa/HIMS01/13/0024,ACCOUNTANCY,400,1,2013/2014,20,55,3.5,6,1,0
36,ACC405,UBa/HIMS01/13/0028,ACCOUNTANCY,400,1,2013/2014,13,50.1,3,6,1,0
37,ACC405,UBa/HIMS01/13/0034,ACCOUNTANCY,400,1,2013/2014,13,38.5,2,6,1,0
38,ACC405,UBa/HIMS01/13/0035,ACCOUNTANCY,400,1,2013/2014,23,56,3.5,6,1,0
39,ACC405,UBa/HIMS01/13/0037,ACCOUNTANCY,400,1,2013/2014,17,35,2,6,1,0
40,ACC405,UBa/HIMS01/13/0101,ACCOUNTANCY,400,1,2013/2014,12,42.5,2,6,1,0
41,ACC405,UBa/HIMS01/13/0048,ACCOUNTANCY,400,1,2013/2014,15,24,0,6,1,0
42,ACC405,UBa/HIMS01/13/0055,ACCOUNTANCY,400,1,2013/2014,13,14,0,6,0,0
43,ACC405,UBa/HIMS01/13/0064,ACCOUNTANCY,400,1,2013/2014,16,45,3,6,1,0
44,ACC405,UBa/HIMS01/13/0103,ACCOUNTANCY,400,1,2013/2014,21,50.5,3.5,6,1,0
45,ACC405,UBa/HIMS01/13/0113,ACCOUNTANCY,400,1,2013/2014,15,35,2,6,1,0
46,ACC405,UBa/HIMS01/13/0118,ACCOUNTANCY,400,1,2013/2014,13,32,1.5,6,1,0
