roll,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106
1,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106
2,ACC401,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,11,30,1,6,0,0
3,ACC401,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,19,42,3,6,1,0
4,ACC401,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,16,34,2,6,1,0
5,ACC401,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,14,42,2.5,6,1,0
6,ACC401,UBa/HIMS01/13/0020,ACCOUNTANCY,400,1,2013/2014,20,55,3.5,6,1,0
7,ACC401,UBa/HIMS01/13/0089,ACCOUNTANCY,400,1,2013/2014,10,38,1.5,6,0,0
8,ACC401,UBa/HIMS01/13/0024,ACCOUNTANCY,400,1,2013/2014,7,63,3.5,6,1,0
9,ACC401,UBa/HIMS01/13/0028,ACCOUNTANCY,400,1,2013/2014,20,45,3,6,1,0
10,ACC401,UBa/HIMS01/13/0034,ACCOUNTANCY,400,1,2013/2014,14,29,1,6,0,0
11,ACC401,UBa/HIMS01/13/0035,ACCOUNTANCY,400,1,2013/2014,25,57,4,6,1,0
12,ACC401,UBa/HIMS01/13/0037,ACCOUNTANCY,400,1,2013/2014,11,30,1,6,0,0
13,ACC401,UBa/HIMS01/13/0101,ACCOUNTANCY,400,1,2013/2014,12,26,0,6,0,0
14,ACC401,UBa/HIMS01/13/0048,ACCOUNTANCY,400,1,2013/2014,15,41,2.5,6,1,0
15,ACC401,UBa/HIMS01/13/0055,ACCOUNTANCY,400,1,2013/2014,15,31,1.5,6,0,0
16,ACC401,UBa/HIMS01/13/0064,ACCOUNTANCY,400,1,2013/2014,11,57,3,6,1,0
17,ACC401,UBa/HIMS01/13/0103,ACCOUNTANCY,400,1,2013/2014,16,72,4,6,1,0
18,ACC401,UBa/HIMS01/13/0113,ACCOUNTANCY,400,1,2013/2014,10,38,1.5,6,0,0
19,ACC401,UBa/HIMS01/13/0118,ACCOUNTANCY,400,1,2013/2014,12,54,3,6,1,0
20,ACC401,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,11,46,2.5,6,1,0
21,ACC401,UBa/HIMS01/13/0065,ACCOUNTANCY,400,1,2013/2014,19,42,3,6,1,0
22,ACC401,UBa/HIMS01/13/0003,ACCOUNTANCY,400,1,2013/2014,18,47,3,6,1,0
23,ACC401,UBa/HIMS01/13/0005,ACCOUNTANCY,400,Not Eligible,2013/2014,,Not Eligible,,,,
24,ACC401,UBa/HIMS01/13/0034,ACCOUNTANCY,400,3,2013/2014,14,38.5,2,6,,
25,ACC401,UBa/HIMS01/13/0037,ACCOUNTANCY,400,3,2013/2014,11,42,2,6,,
26,ACC401,UBa/HIMS01/13/0048,ACCOUNTANCY,400,,2013/2014,15,Validated,,,,
27,ACC401,UBa/HIMS01/13/0055,ACCOUNTANCY,400,3,2013/2014,15,32,1.5,6,,
28,ACC401,UBa/HIMS01/13/0086,ACCOUNTANCY,400,,2013/2014,14,Validated,,,,
29,ACC401,UBa/HIMS01/13/0089,ACCOUNTANCY,400,3,2013/2014,10,45,2.5,6,,
30,ACC401,UBa/HIMS01/13/009,ACCOUNTANCY,400,3,2013/2014,11,49,3,6,,
31,ACC401,UBa/HIMS01/13/0101,ACCOUNTANCY,400,3,2013/2014,12,42,2,6,,
32,ACC401,UBa/HIMS01/13/0113,ACCOUNTANCY,400,3,2013/2014,10,42,2,6,,
33,ACC401,UBa/HIMS01/13/0118,ACCOUNTANCY,400,,2013/2014,12,Validated,,,,
34,ACC401,UBa/HIMS01/13/0144,ACCOUNTANCY,400,Not Eligible,2013/2014,0,Not Eligible,,,,
35,ACC401,UBa/HIMS01/13/0005,ACCOUNTANCY,400,1,2013/2014,13,62,3.5,6,0,
36,ACC402,UBa/HIMS01/13/0003,ACCOUNTANCY,400,2,2013/2014,18,42,3,3,1,0
37,ACC402,Uba/HIMS01/13/0005,ACCOUNTANCY,400,2,2013/2014,20,47,3,3,1,0
38,ACC402,Uba/HIMS01/13/0017,ACCOUNTANCY,400,2,2013/2014,18,42,3,6,1,0
39,ACC402,UBa/HIMS01/13/0020,ACCOUNTANCY,400,2,2013/2014,21,49,3.5,3.5,1,0
40,ACC402,UBa/HIMS01/13/0024,ACCOUNTANCY,400,2,2013/2014,20,47,3,3,1,0
41,ACC402,UBa/HIMS01/13/0028,ACCOUNTANCY,400,2,2013/2014,16,37,2,2,1,0
42,ACC402,UBa/HIMS01/13/0034,ACCOUNTANCY,400,2,2013/2014,18,42,3,6,1,0
43,ACC402,UBa/HIMS01/13/0035,ACCOUNTANCY,400,2,2013/2014,21,49,3.5,6,1,0
44,ACC402,UBa/HIMS01/13/0037,ACCOUNTANCY,400,2,2013/2014,20,46,3,6,1,0
45,ACC402,UBa/HIMS01/13/0048,ACCOUNTANCY,400,2,2013/2014,19,45,3,6,1,0
46,ACC402,UBa/HIMS01/13/0055,ACCOUNTANCY,400,2,2013/2014,13,31,1,6,0,0
47,ACC402,UBa/HIMS01/13/0064,ACCOUNTANCY,400,2,2013/2014,18,43,3,6,1,0
48,ACC402,UBa/HIMS01/13/0065,ACCOUNTANCY,400,2,2013/2014,22,52,3.5,6,1,0
49,,,,,,,,,,0,0,0
50,ACC402,UBa/HIMS01/13/0083,ACCOUNTANCY,400,2,2013/2014,23,53,3.5,6,1,0
51,ACC402,UBa/HIMS01/13/0086,ACCOUNTANCY,400,2,2013/2014,23,54,3.5,3.5,1,0
52,ACC402,UBa/HIMS01/13/0101,ACCOUNTANCY,400,2,2013/2014,21,50,3.5,6,1,0
53,ACC402,UBa/HIMS01/13/0103,ACCOUNTANCY,400,2,2013/2014,19,44,3,6,1,0
54,ACC402,UBa/HIMS01/13/0089,ACCOUNTANCY,400,2,2013/2014,21,50,3.5,3.5,1,0
55,ACC402,UBa/HIMS01/13/0113,ACCOUNTANCY,400,2,2013/2014,25,59,4,6,1,0
56,ACC402,UBa/HIMS01/13/0119,ACCOUNTANCY,400,2,2013/2014,,,0,0,0,0
57,ACC402,UBa/HIMS01/13/0118,ACCOUNTANCY,400,2,2013/2014,21,48,3,6,1,0
58,ACC402,UBa/HIMS01/13/0144,ACCOUNTANCY,400,2,2013/2014,19,45,3,6,1,0
59,ACC402,UBa/HIMS01/13/009,ACCOUNTANCY,400,2,2013/2014,26,61,4,6,1,0
60,ACC402,UBa/HIMS01/13/0005,ACCOUNTANCY,400,,2013/2014,20,Validated,,,,
61,ACC402,UBa/HIMS01/13/0034,ACCOUNTANCY,400,,2013/2014,18,Validated,,,,
62,ACC402,UBa/HIMS01/13/0037,ACCOUNTANCY,400,,2013/2014,20,Validated,,,,
63,ACC402,UBa/HIMS01/13/0048,ACCOUNTANCY,400,,2013/2014,19,Validated,,,,
64,ACC402,UBa/HIMS01/13/0055,ACCOUNTANCY,400,3,2013/2014,13,22,0,6,,
65,ACC402,UBa/HIMS01/13/0086,ACCOUNTANCY,400,,2013/2014,23,Validated,,,,
66,ACC402,UBa/HIMS01/13/0089,ACCOUNTANCY,400,,2013/2014,21,Validated,,,,
67,ACC402,UBa/HIMS01/13/009,ACCOUNTANCY,400,,2013/2014,26,Validated,,,,
68,ACC402,UBa/HIMS01/13/0101,ACCOUNTANCY,400,,2013/2014,21,Validated,,,,
69,ACC402,UBa/HIMS01/13/0113,ACCOUNTANCY,400,,2013/2014,25,Validated,,,,
70,ACC402,UBa/HIMS01/13/0118,ACCOUNTANCY,400,,2013/2014,21,Validated,,,,
71,ACC402,UBa/HIMS01/13/0144,ACCOUNTANCY,400,,2013/2014,19,Validated,,,,
72,ACC403,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,24,46,3.5,6,1,0
73,ACC403,UBa/HIMS01/13/0003,ACCOUNTANCY,400,1,2013/2014,22,34,2.5,6,1,0
74,ACC403,UBa/HIMS01/13/0005,ACCOUNTANCY,400,1,2013/2014,19,41,3,6,1,0
75,ACC403,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,27,48,3.5,6,1,0
76,ACC403,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,23,48,3.5,6,1,0
77,ACC403,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,17,41,2.5,6,1,0
78,ACC403,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,20,38,2.5,6,1,0
79,ACC403,UBa/HIMS01/13/0020,ACCOUNTANCY,400,1,2013/2014,22,41,3,6,1,0
80,ACC403,UBa/HIMS01/13/0089,ACCOUNTANCY,400,1,2013/2014,20,46,3,6,1,0
81,ACC403,UBa/HIMS01/13/0024,ACCOUNTANCY,400,1,2013/2014,20,53,3.5,6,1,0
82,ACC403,UBa/HIMS01/13/0028,ACCOUNTANCY,400,1,2013/2014,25,56,4,6,1,0
83,ACC403,UBa/HIMS01/13/0034,ACCOUNTANCY,400,1,2013/2014,24,31,2.5,6,1,0
84,ACC403,UBa/HIMS01/13/0035,ACCOUNTANCY,400,1,2013/2014,27,53,4,6,1,0
85,ACC403,UBa/HIMS01/13/0037,ACCOUNTANCY,400,1,2013/2014,20,34,2,6,1,0
86,ACC403,UBa/HIMS01/13/0101,ACCOUNTANCY,400,1,2013/2014,18,19,0,6,0,0
87,ACC403,UBa/HIMS01/13/0048,ACCOUNTANCY,400,1,2013/2014,14,27,1,6,1,0
88,ACC403,UBa/HIMS01/13/0055,ACCOUNTANCY,400,1,2013/2014,20,46,3,6,1,0
89,ACC403,UBa/HIMS01/13/0064,ACCOUNTANCY,400,1,2013/2014,27,46,3.5,6,1,0
90,ACC403,UBa/HIMS01/13/0103,ACCOUNTANCY,400,1,2013/2014,14,51,3,6,1,0
91,ACC403,UBa/HIMS01/13/0113,ACCOUNTANCY,400,1,2013/2014,21,49,3.5,6,1,0
92,ACC403,UBa/HIMS01/13/0118,ACCOUNTANCY,400,1,2013/2014,10,38,1.5,6,0,0
93,ACC403,UBa/HIMS01/13/0065,ACCOUNTANCY,400,1,2013/2014,20,41,3,6,1,0
94,ACC403,UBa/HIMS01/13/0005,ACCOUNTANCY,400,,2013/2014,19,Validated,,,,
95,ACC403,UBa/HIMS01/13/0034,ACCOUNTANCY,400,,2013/2014,24,Validated,,,,
96,ACC403,UBa/HIMS01/13/0037,ACCOUNTANCY,400,,2013/2014,20,Validated,,,,
97,ACC403,UBa/HIMS01/13/0048,ACCOUNTANCY,400,3,2013/2014,14,47,3,6,,
98,ACC403,UBa/HIMS01/13/0055,ACCOUNTANCY,400,,2013/2014,20,Validated,,,,
99,ACC403,UBa/HIMS01/13/0086,ACCOUNTANCY,400,,2013/2014,20,Validated,,,,
100,ACC403,UBa/HIMS01/13/0089,ACCOUNTANCY,400,,2013/2014,20,Validated,,,,
101,ACC403,UBa/HIMS01/13/009,ACCOUNTANCY,400,,2013/2014,27,Validated,,,,
102,ACC403,UBa/HIMS01/13/0101,ACCOUNTANCY,400,3,2013/2014,18,35,2,6,,
103,ACC403,UBa/HIMS01/13/0113,ACCOUNTANCY,400,,2013/2014,21,Validated,,,,
104,ACC403,UBa/HIMS01/13/0118,ACCOUNTANCY,400,3,2013/2014,10,41,2,6,,
105,ACC403,UBa/HIMS01/13/0144,ACCOUNTANCY,400,Not Eligible,2013/2014,0,Not Eligible,,,,
106,ACC405,UBa/HIMS01/13/0144,ACCOUNTANCY,400,1,2013/2014,19,38,2.5,6,1,0
107,ACC405,UBa/HIMS01/13/0003,ACCOUNTANCY,400,1,2013/2014,14,54,3,6,1,0
108,ACC405,UBa/HIMS01/13/0005,ACCOUNTANCY,400,1,2013/2014,16,59,3.5,6,1,0
109,ACC405,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,19,56,3.5,6,1,0
110,ACC405,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,22,53.5,3.5,6,1,0
111,ACC405,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,17,37,2,6,1,0
112,ACC405,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,11,33,1,6,1,0
113,ACC405,UBa/HIMS01/13/0020,ACCOUNTANCY,400,1,2013/2014,20,59,3.5,6,1,0
114,ACC405,UBa/HIMS01/13/0089,ACCOUNTANCY,400,1,2013/2014,19,47,3,6,1,0
115,ACC405,UBa/HIMS01/13/0024,ACCOUNTANCY,400,1,2013/2014,20,55,3.5,6,1,0
116,ACC405,UBa/HIMS01/13/0028,ACCOUNTANCY,400,1,2013/2014,13,50.1,3,6,1,0
117,ACC405,UBa/HIMS01/13/0034,ACCOUNTANCY,400,1,2013/2014,13,38.5,2,6,1,0
118,ACC405,UBa/HIMS01/13/0035,ACCOUNTANCY,400,1,2013/2014,23,56,3.5,6,1,0
119,ACC405,UBa/HIMS01/13/0037,ACCOUNTANCY,400,1,2013/2014,17,35,2,6,1,0
120,ACC405,UBa/HIMS01/13/0101,ACCOUNTANCY,400,1,2013/2014,12,42.5,2,6,1,0
121,ACC405,UBa/HIMS01/13/0048,ACCOUNTANCY,400,1,2013/2014,15,24,0,6,1,0
122,ACC405,UBa/HIMS01/13/0055,ACCOUNTANCY,400,1,2013/2014,13,14,0,6,0,0
123,ACC405,UBa/HIMS01/13/0064,ACCOUNTANCY,400,1,2013/2014,16,45,3,6,1,0
124,ACC405,UBa/HIMS01/13/0103,ACCOUNTANCY,400,1,2013/2014,21,50.5,3.5,6,1,0
125,ACC405,UBa/HIMS01/13/0113,ACCOUNTANCY,400,1,2013/2014,15,35,2,6,1,0
126,ACC405,UBa/HIMS01/13/0118,ACCOUNTANCY,400,1,2013/2014,13,32,1.5,6,1,0
127,ACC405,UBa/HIMS01/13/0065,ACCOUNTANCY,400,1,2013/2014,13,41,2,6,1,0
128,ACC405,UBa/HIMS01/13/0005,ACCOUNTANCY,400,,2013/2014,16,Validated,,,,
129,ACC405,UBa/HIMS01/13/0034,ACCOUNTANCY,400,,2013/2014,13,Validated,,,,
130,ACC405,UBa/HIMS01/13/0037,ACCOUNTANCY,400,,2013/2014,17,Validated,,,,
131,ACC405,UBa/HIMS01/13/0048,ACCOUNTANCY,400,3,2013/2014,15,47,3,6,,
132,ACC405,UBa/HIMS01/13/0055,ACCOUNTANCY,400,3,2013/2014,13,37,2,6,,
133,ACC405,UBa/HIMS01/13/0086,ACCOUNTANCY,400,3,2013/2014,11,44,2.5,6,,
134,ACC405,UBa/HIMS01/13/0089,ACCOUNTANCY,400,,2013/2014,19,Validated,,,,
135,ACC405,UBa/HIMS01/13/009,ACCOUNTANCY,400,,2013/2014,19,Validated,,,,
136,ACC405,UBa/HIMS01/13/0101,ACCOUNTANCY,400,,2013/2014,12,Validated,,,,
137,ACC405,UBa/HIMS01/13/0113,ACCOUNTANCY,400,,2013/2014,15,Validated,,,,
138,ACC405,UBa/HIMS01/13/0118,ACCOUNTANCY,400,3,2013/2014,13,55,3,6,,
139,ACC405,UBa/HIMS01/13/0144,ACCOUNTANCY,400,Not Eligible,2013/2014,0,Not Eligible,,,,
140,ACC406,UBa/HIMS01/13/0003,ACCOUNTANCY,400,2,2013/2014,24,64,4,4,1,0
141,ACC406,Uba/HIMS01/13/0005,ACCOUNTANCY,400,2,2013/2014,19,58,3.5,3.5,1,0
142,ACC406,Uba/HIMS01/13/0017,ACCOUNTANCY,400,2,2013/2014,18,60,3.5,6,1,0
143,ACC406,UBa/HIMS01/13/0020,ACCOUNTANCY,400,2,2013/2014,16,60,3.5,3.5,1,0
144,ACC406,UBa/HIMS01/13/0024,ACCOUNTANCY,400,2,2013/2014,18,56,3.5,3.5,1,0
145,ACC406,UBa/HIMS01/13/0028,ACCOUNTANCY,400,2,2013/2014,20,60,4,4,1,0
146,ACC406,UBa/HIMS01/13/0034,ACCOUNTANCY,400,2,2013/2014,23,42,3,6,1,0
147,ACC406,UBa/HIMS01/13/0035,ACCOUNTANCY,400,2,2013/2014,28,66,4,6,1,0
148,ACC406,UBa/HIMS01/13/0037,ACCOUNTANCY,400,2,2013/2014,14,54,3,6,1,0
149,ACC406,UBa/HIMS01/13/0048,ACCOUNTANCY,400,2,2013/2014,12,56,3,6,1,0
150,ACC406,UBa/HIMS01/13/0055,ACCOUNTANCY,400,2,2013/2014,20,20,1,6,0,0
151,ACC406,UBa/HIMS01/13/0064,ACCOUNTANCY,400,2,2013/2014,21,62,4,6,1,0
152,ACC406,UBa/HIMS01/13/0065,ACCOUNTANCY,400,2,2013/2014,13,52,3,6,1,0
153,,,,,,,,,,0,0,0
154,ACC406,UBa/HIMS01/13/0083,ACCOUNTANCY,400,2,2013/2014,26,56,4,6,1,0
155,ACC406,UBa/HIMS01/13/0086,ACCOUNTANCY,400,2,2013/2014,13,48,3,3,1,0
156,ACC406,UBa/HIMS01/13/0101,ACCOUNTANCY,400,2,2013/2014,15,64,3.5,6,1,0
157,ACC406,UBa/HIMS01/13/0103,ACCOUNTANCY,400,2,2013/2014,18,56,3.5,6,1,0
