roll,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106
1,ACC401,UBa/HIMS01/13/0003,ACCOUNTANCY,400,1,2013/2014,18,47,0,0,0,0
2,ACC401,UBa/HIMS01/13/0005,ACCOUNTANCY,400,1,2013/2014,13,62,0,0,0,0
3,ACC401,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,11,30,0,0,0,0
4,ACC401,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,19,42,0,0,0,0
5,ACC401,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,16,34,0,0,0,0
6,ACC401,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,14,42,0,0,0,0
7,ACC401,UBa/HIMS01/13/0020,ACCOUNTANCY,400,1,2013/2014,20,55,0,0,0,0
8,ACC401,UBa/HIMS01/13/0089,ACCOUNTANCY,400,1,2013/2014,10,38,0,0,0,0
9,ACC401,UBa/HIMS01/13/0024,ACCOUNTANCY,400,1,2013/2014,7,63,0,0,0,0
10,ACC401,UBa/HIMS01/13/0028,ACCOUNTANCY,400,1,2013/2014,20,45,0,0,0,0
11,ACC401,UBa/HIMS01/13/0034,ACCOUNTANCY,400,1,2013/2014,14,29,0,0,0,0
12,ACC401,UBa/HIMS01/13/0035,ACCOUNTANCY,400,1,2013/2014,25,57,0,0,0,0
13,ACC401,UBa/HIMS01/13/0037,ACCOUNTANCY,400,1,2013/2014,11,30,0,0,0,0
14,ACC401,UBa/HIMS01/13/0101,ACCOUNTANCY,400,1,2013/2014,12,26,0,0,0,0
15,ACC401,UBa/HIMS01/13/0048,ACCOUNTANCY,400,1,2013/2014,15,41,0,0,0,0
16,ACC401,UBa/HIMS01/13/0055,ACCOUNTANCY,400,1,2013/2014,15,31,0,0,0,0
17,ACC401,UBa/HIMS01/13/0064,ACCOUNTANCY,400,1,2013/2014,11,57,0,0,0,0
18,ACC401,UBa/HIMS01/13/0103,ACCOUNTANCY,400,1,2013/2014,16,72,0,0,0,0
19,ACC401,UBa/HIMS01/13/0113,ACCOUNTANCY,400,1,2013/2014,10,38,0,0,0,0
20,ACC401,UBa/HIMS01/13/0118,ACCOUNTANCY,400,1,2013/2014,12,54,0,0,0,0
21,ACC401,UBa/HIMS01/13/0065,ACCOUNTANCY,400,1,2013/2014,19,42,0,0,0,0
22,ACC405,UBa/HIMS01/13/0003,ACCOUNTANCY,400,1,2013/2014,14,54,0,0,0,0
23,ACC405,UBa/HIMS01/13/0005,ACCOUNTANCY,400,1,2013/2014,16,59,0,0,0,0
24,ACC405,UBa/HIMS01/13/009,ACCOUNTANCY,400,1,2013/2014,19,56,0,0,0,0
25,ACC405,UBa/HIMS01/13/0083,ACCOUNTANCY,400,1,2013/2014,22,53.5,0,0,0,0
26,ACC405,UBa/HIMS01/13/0017,ACCOUNTANCY,400,1,2013/2014,17,37,0,0,0,0
27,ACC405,UBa/HIMS01/13/0086,ACCOUNTANCY,400,1,2013/2014,11,33,0,0,0,0
